"","Easements","LotArea","BldgArea","ComArea","ResArea","OfficeArea","RetailArea","GarageArea","StrgeArea","FactryArea","OtherArea","NumBldgs","NumFloors","UnitsRes","UnitsTotal","LotFront","LotDepth","BldgFront","BldgDepth","AssessLand","AssessTot","ExemptLand","ExemptTot","YearBuilt","YearAlter1","YearAlter2","BuiltFAR","ResidFAR","CommFAR","FacilFAR","CondoNo","XCoord","YCoord"
"ExemptLand",0.974198034980515,0.91653067462284,0.957558443020205,0.896816997345152,0.993658573433075,0.980336661000463,0.99470433604196,0.993286220724453,0.997454749959492,1,0.942912895512202,0.91644530665124,0.976437212067136,1,0.98656673356407,0.951119373061772,0.908670434945954,0.924537843330137,0.987034914532281,0.980676709084047,0.953806885134749,1,0.947560125905276,0.95518473364542,0.984226778644067,0.981882054817132,0.994884192137581,0.930909577281453,0.914842255177526,0.9293927871628,1,0.830652065971765,0.90735088285775
"ExemptTot",0.947212648738309,0.947330062272329,0.940448154767731,0.894258423209957,0.97284680721322,0.932340721193734,0.979678978522044,0.982348574993155,0.990675013560465,0.981083980839109,0.939415673488777,0.862817126067688,0.939847247207236,0.970122356881215,0.981677421042678,0.903292391464229,0.901109726094852,0.914054610095743,0.97637963701732,0.873033773490464,0.953775626031212,0.947560125905276,1,0.923774835998435,0.925428636876522,0.952833056489792,0.951403029908281,0.934698778354695,0.961850046309133,0.960534788253415,1,0.831587376655918,0.853140122679556
"YearBuilt",0.919924674352862,0.931728036822534,0.771194815955731,0.878652718082249,0.877387946711566,0.940919738121809,0.926193321593409,0.948670545691753,0.870238602737614,0.938518185304203,0.939297288093598,0.828539732146779,0.837544068256519,0.879321987046364,0.981679064805286,0.893758686371701,0.892288912006031,0.712326358898697,0.864599481395587,0.946468924411898,0.964690953990801,0.95518473364542,0.923774835998435,1,0.992434119547322,0.992219337263603,0.90059551797311,0.96774961329099,0.970629130448762,0.970666224586933,0.852715363483538,0.631840356568033,0.670522926110692
"YearAlter1",0.897409566059469,0.949501391016669,0.855870967099986,0.876554648052052,0.833822677373073,0.930822024869547,0.955665985729506,0.90684000425923,0.982845398321785,0.99207032592814,0.942356917056646,0.840552249857004,0.980468225224236,0.89199818785415,0.987296818991612,0.888518170155067,0.853567683980866,0.858853193964168,0.95950746290147,0.867206940534378,0.974881159720232,0.984226778644067,0.925428636876522,0.992434119547322,1,1,0.887847860652542,0.959433866259042,0.917649267743909,0.852692937944281,0.941192,0.792259292271937,0.797460433820699
"YearAlter2",0.951862926010334,0.973091573841938,0.89461545205185,0.90577258922419,0.909149169921875,0.924429086031284,0.951721763575691,0.979813190436179,0.987732853972114,0.991090744426965,0.961557104284492,0.909149169921875,0.981696638976532,0.9048386338498,0.986699717275082,0.885165668276243,0.824125007176193,0.863270450556601,0.978542192365887,0.977480145177512,0.960623702855084,0.981882054817132,0.952833056489792,0.992219337263603,1,1,0.992117120882445,1,1,0.721442419891472,1,0.921776062545554,0.875154105366976
"BuiltFAR",0.936065001257023,1,0.771806734338445,0.89182518259749,0.839678702516943,0.907142724187196,0.968260835610198,0.926827195415708,0.907234500402297,0.959845134226268,1,0.89863297940699,0.893770741438234,0.867199844847846,0.970757298052511,0.84554528264545,0.892213562712035,0.745547068730232,0.964413669292716,0.992302482790291,0.960820229219832,0.994884192137581,0.951403029908281,0.90059551797311,0.887847860652542,0.992117120882445,1,0.943549759003998,0.97021609029256,0.972392989939909,0.828978490135515,0.736255627033587,0.746858696537921
"ResidFAR",0.84499706307544,0.938493464362261,0.889592022951273,0.91277136074378,0.922612119448165,0.942633194501305,0.934725997061723,0.928865465188077,0.919271263255716,0.944720825347391,0.917883374524808,0.898155633968406,0.947100564819617,0.893864043516816,0.92867658733225,0.909741133129887,0.919813212992723,0.886581484750104,0.944650814903359,0.900534349811176,0.939397300474058,0.930909577281453,0.934698778354695,0.96774961329099,0.959433866259042,1,0.943549759003998,1,0.884275800245111,1,0.948286382314666,0.759961369666599,0.804357
"CommFAR",0.989829564956335,0.959460225484496,0.939877665348078,0.937820335639313,0.921258785977655,0.893344319103623,0.967114687841052,0.963206847696289,0.94793848478267,0.921442158541231,0.921573449930163,0.936410499329895,0.973270529461813,0.919057542929558,0.956080434865196,0.899160850064929,0.900164433062117,0.870960250947076,0.9697113033348,0.937466209282736,0.959978265826608,0.914842255177526,0.961850046309133,0.970629130448762,0.917649267743909,1,0.97021609029256,0.884275800245111,1,1,1,0.867274614131889,0.87808829380695
"FacilFAR",0.984313842661902,0.94433617100166,0.901007739904923,0.923559678756824,0.93850247576463,0.922873478333682,0.950157308685419,0.960094880130545,0.906875222215108,0.884712202909768,0.907539468282595,0.878458930589926,0.967587678537084,0.930886632514563,0.955789952848437,0.90038992375644,0.916994260662691,0.901557851780239,0.965245623306267,0.914996234356561,0.944137308605185,0.9293927871628,0.960534788253415,0.970666224586933,0.852692937944281,0.721442419891472,0.972392989939909,1,1,1,0.935896016396893,0.878713128932253,0.894564169424551
"CondoNo",1,1,0.741672993471541,0.977927931784717,0.758960073553425,1,1,1,1,1,0.986281992705396,0.76283503000738,0.788068989114957,0.734642252129493,0.795233945654386,0.972540611260965,0.891770698364101,0.818192128104311,0.938688163825635,1,1,1,1,0.852715363483538,0.941192,1,0.828978490135515,0.948286382314666,1,0.935896016396893,1,0.889612052551686,0.796918689299325
"XCoord",0.910377922443271,0.910855783560056,0.862622817834939,0.865984154473921,0.855742319075053,0.893726072316157,0.871324251480492,0.756823504805073,0.858026595227933,0.895009146197064,0.860910329597184,0.870248924945734,0.708087130249672,0.811184668836956,0.783853180948631,0.785793969668186,0.76747310761327,0.766178276086478,0.693403125754307,0.834796627318423,0.806649871648876,0.830652065971765,0.831587376655918,0.631840356568033,0.792259292271937,0.921776062545554,0.736255627033587,0.759961369666599,0.867274614131889,0.878713128932253,0.889612052551686,1,0.626567685234132
"YCoord",0.921377599808977,0.917141418799329,0.849417624152732,0.86436580543569,0.842409348436307,0.901362094229711,0.85098255597119,0.850412421264902,0.887698747740007,0.785871933314093,0.881040003735999,0.874132957778189,0.725991905655457,0.835316639463247,0.778091633445642,0.785443468297814,0.79791131198653,0.762068713643197,0.644605652883738,0.889054619639361,0.825341039057093,0.90735088285775,0.853140122679556,0.670522926110692,0.797460433820699,0.875154105366976,0.746858696537921,0.804357,0.87808829380695,0.894564169424551,0.796918689299325,0.626567685234132,1
