Easements,LotArea,BldgArea,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,BuiltFAR,ResidFAR,CommFAR,FacilFAR,XCoord,YCoord
1,5400,2664,1,2,3,3,40,135,18,60,12141,25297,0,0,1978,0.49,0.6,0,1,943946,160948
1,3402,2664,1,2,3,3,27,126,18,60,14732,28200,1610,1610,1978,0.78,0.6,0,1,943922,160953
1,3294,2664,1,2,3,3,27,122,18,60,14822,28200,0,0,1978,0.81,0.6,0,1,943896,160956
1,3294,2664,1,2,2,2,27,122,18,60,16020,28080,9056,9056,1978,0.81,0.6,0,1,943870,160962
1,3294,2664,1,2,3,3,27,122,18,60,13765,26292,1610,1610,1978,0.81,0.6,0,1,943843,160967
1,4545,2462,1,2,2,2,47,107,26,52,8880,25560,1610,1610,1960,0.54,0.6,0,1,948279,157493
1,6600,2160,1,2,2,2,60,110,25,28,10393,23900,1610,1610,1920,0.33,0.6,0,1,947669,158895
1,8800,1056,1,1,1,1,80,110,24,38,11149,21178,0,0,1960,0.12,0.6,0,1,947676,158825
1,5500,1820,1,1.5,1,1,50,110,34,24,8940,23460,3440,3440,1960,0.33,0.6,0,1,947565,158829
1,8800,960,1,1,1,1,80,110,24,38,12730,23659,0,0,1960,0.11,0.6,0,1,947558,158894
1,2000,0,0,0,0,0,20,100,0,0,649,649,0,0,0,0,0.6,0,1,947410,158870
1,6000,1632,1,1.5,1,1,60,100,34,24,9395,23264,9256,9256,1965,0.27,0.6,0,1,947308,158878
2,32390,0,0,0,0,0,320,187,0,0,14814,14814,0,0,0,0,0.5,0,1,957978,161487
3,52920,3568,1,3,1,1,196,270,48,19,55740,69120,0,0,1910,0.07,0.5,0,1,958362,161278
2,13432,4200,1,2,1,1,40,106,40,40,21120,68100,0,0,2001,0.31,0.5,0,1,957233,161270
1,10192,3768,1,3,1,1,91,112,40,50,12670,42301,0,0,1955,0.37,0.5,0,1,957477,161464
1,8750,1308,1,1,1,1,106,70,62,22,14676,35515,0,0,1950,0.15,0.5,0,1,955826,159150
1,12510,2241,1,2.5,1,1,150,81.17,43,23,19880,47460,0,0,1935,0.18,0.5,0,1,955735,159012
1,7290,5060,1,2,1,1,63,96.33,35,52,15180,62496,0,0,1995,0.69,0.5,0,1,955830,159003
1,13680,6386,1,3,1,1,76,240,56,38,23220,72600,1610,1610,1987,0.47,0.5,0,1,955982,159059
1,8294,4410,1,3,1,1,130,100,50,30,8145,41184,0,0,1965,0.53,0.5,0,1,956468,158803
1,12470,3336,1,1,1,1,134,196,48,32,24460,55555,1610,1610,1965,0.27,0.5,0,1,956373,158770
1,7000,2849,1,2,2,2,70,100,29,53,13500,36840,13500,21860,1975,0.41,0.5,0,1,956369,157042
1,12500,3727,1,2,1,1,125,100,44,32,19020,55500,0,0,1955,0.3,0.5,0,1,956251,157140
1,6600,0,0,0,0,0,131.33,123.5,0,0,5799,5799,0,0,0,0,0.5,0,1,956188,157312
1,6720,2497,1,2,1,1,60,119,27.17,51.58,15410,47304,8510,8510,1984,0.37,0.5,0,1,956248,157332
1,7360,3833,1,2,1,1,57.58,95.42,27.17,51.5,16225,55482,1610,1610,1986,0.52,0.5,0,1,956292,157377
1,5300,0,0,0,0,0,51.92,110.5,0,0,8121,8121,0,0,0,0,0.5,0,1,956331,157426
1,10149,2871,2,2,1,1,25.92,110.5,28,60.08,18120,55560,0,0,1986,0.28,0.5,0,1,956379,157486
1,8928,3752,1,2,1,1,58.92,109.75,33,60.08,9020,40824,3440,3440,1986,0.42,0.5,0,1,956330,157554
1,9300,3000,1,2,1,1,100,93,70.25,29.17,19069,55415,1610,1610,1984,0.32,0.5,0,1,956247,157611
1,8856,3060,1,2,1,1,102.67,93,56,32,21300,50880,1610,1610,1985,0.35,0.5,0,1,956093,157732
1,9164,5007,1,2,1,1,95,140,56,54,15470,53712,0,0,1985,0.55,0.5,0,1,956020,157647
1,6000,3140,1,2,1,1,109.33,87,30.08,45,16041,50905,3440,3440,1985,0.52,0.5,0,1,956098,157605
1,10779,2500,1,2,1,1,145,89,28,60.17,17106,57876,1610,1610,1985,0.23,0.5,0,1,956018,157539
1,11598,5288,1,2,1,1,78.08,120.92,60,44,16200,54480,0,0,1985,0.46,0.5,0,1,955974,157425
1,9039,3940,1,2,1,1,67.67,97,60.58,33.33,8113,41904,8113,12036,1985,0.44,0.5,0,1,956105,157476
1,8848,4590,1,2,1,1,93.08,79.25,55,30,16953,63175,1610,1610,1985,0.52,0.5,0,1,956238,157483
1,7663,4115,1,2,1,1,106.17,79.25,59.92,35.5,16841,60471,1610,1610,1986,0.54,0.5,0,1,956163,157405
1,7481,3100,1,2,1,1,72.33,108.92,50,35,16872,51192,1610,1610,1983,0.41,0.5,0,1,956090,157348
1,10800,3800,1,2,1,1,100,111,52,51,19414,61516,1610,1610,1975,0.35,0.5,0,1,954001,158581
1,250,2548,1,1,1,1,250,152,57,46,748,31954,748,1610,1973,10.19,0.5,0,1,954184,158606
1,9212,6636,1,2,1,1,115,94,54,38,21836,90630,3440,3440,1985,0.72,0.5,0,1,954261,154983
1,10440,3164,1,2,1,1,89.08,94,60,36,19080,63918,1610,1610,1975,0.3,0.5,0,1,954327,155048
1,12608,4756,1,2,1,1,130.82,95,67,44,15315,59309,0,0,1983,0.38,0.5,0,1,954311,155192
1,10620,3500,1,2,1,1,90,118,60,49.08,18915,65698,1610,1610,1983,0.33,0.5,0,1,954238,155127
1,11232,3161,1,2,1,1,116.08,96,60,49.08,21097,67161,1610,1610,1985,0.28,0.5,0,1,954170,155055
1,16885,3666,1,1,1,1,131,122,48,60,35688,61383,1610,1610,1965,0.22,0.5,0,1,952890,158073
1,5075,3440,1,2,1,1,50,101,32,40,15393,42646,1610,1610,2008,0.68,0.5,0,1,949864,150086
1,5075,3440,1,2,1,1,50,101,32,40,14664,42646,1610,1610,2008,0.68,0.5,0,1,949819,150109
1,7651,3367,1,2,1,1,60,105,30,45,20018,47135,0,0,2010,0.44,0.5,0,1,949758,150143
1,5509,3480,1,2,1,1,51,112,35,50,9559,18250,0,0,2011,0.63,0.5,0,1,949672,150212
1,5451,3282,1,2,1,1,51,111,32,40,13489,38693,1610,1610,2011,0.6,0.5,0,1,949663,150161
1,6145,3440,1,2,2,2,56.79,95.92,32,40,15350,50494,1610,1610,2008,0.56,0.5,0,1,949858,149978
1,5200,3174,1,2,1,1,54.33,95.92,35,30,13234,34908,0,0,2012,0.61,0.5,0,1,949806,150005
1,7660,3168,1,2,1,1,98,95,35,30,12283,23854,0,0,2012,0.41,0.5,0,1,949741,150041
1,5423,3482,0,2,1,1,51,110,35,45,11614,41605,0,0,2013,0.64,0.5,0,1,949655,150112
1,5409,3150,0,2,1,1,51,110,35,45,11354,37663,0,0,2013,0.58,0.5,0,1,949646,150064
1,8250,2300,1,1,0,1,152.75,100,65,30,55800,96300,0,0,1931,0.28,0.6,0,1,947955,169268
1,4700,1976,2,1,1,1,47,100,26,38,12547,20596,3089,3089,1961,0.42,0.6,0,1,947153,168312
1,544,1969,1,2.5,2,2,25,114,17,26,120,13080,120,1610,1920,3.62,0.6,0,1,947182,168332
1,2500,1490,2,2,1,1,25,100,17,31,10643,14100,9533,12990,1930,0.6,0.6,0,1,947208,168375
1,2429,1600,1,2,2,2,25,100,20,41,10800,16440,0,0,1931,0.66,0.6,0,1,947224,168395
1,4500,1800,2,2,2,2,45,106.75,20,30,12960,18660,1610,1610,1920,0.4,0.6,0,1,947286,168461
1,2700,2100,1,2,1,1,27,100,14,50,13920,21420,1610,1610,2006,0.78,0.6,0,1,947717,168929
1,4845,1812,1,2.5,2,2,89.82,63,37,23,12060,18000,0,0,1920,0.37,0.6,0,1,947772,169034
1,14070,0,0,0,0,0,29,466,0,0,1080,1080,0,0,0,0,0.6,0,1,947831,168941
1,3025,1760,1,2,4,4,25,121,22,40,67772,84281,0,0,1931,0.58,0.6,0,1,947979,169047
1,1573,1600,1,2,2,2,13,121,13,45,10980,16560,1610,1610,2003,1.02,0.6,0,1,947984,169027
1,1000,1176,1,2,1,1,26,155,16,38,296,13212,296,3440,1970,1.18,0.6,0,1,947516,168516
1,1012,1176,1,2,1,1,25,147,16,38,240,11400,240,1610,1970,1.16,0.6,0,1,947527,168538
1,1012,1176,1,2,1,1,25,134,16,38,180,15660,180,1610,1970,1.16,0.6,0,1,947539,168560
1,976,1176,1,2,1,1,25,124,16,38,177,13146,177,1610,1970,1.2,0.6,0,1,947550,168580
1,1012,1176,1,2,1,1,25,110,16,38,180,15660,0,0,1970,1.16,0.6,0,1,947562,168601
1,4184,2624,1,2,1,1,80,98,25,32,300,24060,300,1610,1970,0.63,0.6,0,1,947598,168670
1,5250,3200,1,3,2,2,30,100,16,50,16623,23431,0,0,1989,0.61,0.6,0,1,947385,168438
1,3992,2848,1,3,2,2,26.5,122.5,16,51,1020,22200,0,0,1988,0.71,0.6,0,1,947203,168180
1,2900,2848,1,3,2,2,24.5,114.5,16,51,15540,19440,1610,1610,1987,0.98,0.6,0,1,947210,168204
1,2640,2448,1,3,2,2,24.5,107.75,16,51,15360,19920,1610,1610,1987,0.93,0.6,0,1,947202,168234
1,2550,2848,1,3,2,2,24.5,101,16,51,15360,18960,1610,1610,1987,1.12,0.6,0,1,947203,168260
1,3300,1860,1,2,1,1,132,112,34.5,28,13020,19860,1610,1610,1975,0.56,0.6,0,1,947264,168295
1,38010,27663,1,2,0,8,254,162,200,48,513000,891450,0,0,1989,0.73,0.6,0,1,947668,167603
